 0 0.375 0.008125 1.044384 0.43126783
 200 1. 0.625625 1.6449925 0.4058696
 220 1. 0.63725 1.6948684 0.3992208
 240 1. 0.62225 1.7110018 0.403548
 260 1. 0.6195 1.7138102 0.40482715
 280 1. 0.642375 1.7311739 0.40511233
 300 1. 0.600875 1.6773442 0.4028205
 320 1. 0.628125 1.7137288 0.40247908
 340 0.9912488 0.61693114 1.4210193 0.4200006
 360 0.99128646 0.59042245 1.3504084 0.43830416
 380 0.9914966 0.5986819 1.3158909 0.42002988
 400 0.99166745 0.5639579 1.2857331 0.44427198
 420 0.9916982 0.5657636 1.2708269 0.45567396
 440 0.9916982 0.56302965 1.2602545 0.4469379
 460 1. 0.5665 1.292114 0.4401539
 480 1. 0.56825 1.3042239 0.4398577
 500 1. 0.571875 1.348064 0.42986232
 520 1. 0.582375 1.3827672 0.4237108
 540 1. 0.579125 1.3900908 0.41643846
