 0 0.375 0.0055 1.0276004 0.43303815
 200 1. 0.509875 1.6516947 0.4078011
 220 1. 0.624 1.9105705 0.4261128
 240 1. 0.651 1.9145113 0.41597387
 260 1. 0.641625 1.858139 0.4110329
 280 1. 0.64725 1.8699973 0.40864453
 300 1. 0.651125 1.828156 0.41060352
 320 1. 0.642375 1.8115851 0.41408914
 340 0.9918944 0.6100404 1.391527 0.4502462
 360 0.9920336 0.5785631 1.2569009 0.48997647
 380 0.9920789 0.5666809 1.2300516 0.49416637
 400 0.9920789 0.5971463 1.2305995 0.48623264
 420 0.9920789 0.5538031 1.2175035 0.49035853
 440 0.9920789 0.5664058 1.2180772 0.48663554
 460 1. 0.612625 1.390234 0.45736456
 480 1. 0.6205 1.5029051 0.44134942
 500 1. 0.61275 1.5004779 0.43136814
 520 1. 0.5955 1.5454125 0.42396766
 540 1. 0.6145 1.6061634 0.42304966
